time,size,latency
2023-02-09T11:02,0,0
2023-06-09T11:06,54,51
2023-10-09T11:10,412,288
2023-14-09T11:14,735,619
2023-18-09T11:18,913,401
2023-23-09T11:23,1036,665
2023-27-09T11:27,1839,144
2023-31-09T11:31,1650,1287
2023-35-09T11:35,2066,1515
2023-39-09T11:39,2297,1860
2023-43-09T11:43,2315,1750
2023-47-09T11:47,2481,1773
2023-51-09T11:51,2680,1968
2023-55-09T11:55,2832,2321
2023-59-09T11:59,2997,2702
2023-03-09T12:03,2869,2891
2023-07-09T12:07,3323,2731
2023-11-09T12:11,3270,349
2023-15-09T12:15,2842,3110
2023-19-09T12:19,2867,3243
2023-23-09T12:23,2639,3413
2023-27-09T12:27,2665,3447
2023-31-09T12:31,3104,2867
2023-35-09T12:35,2122,1994
2023-39-09T12:39,1710,1374
2023-43-09T12:43,1493,1652
2023-47-09T12:47,1183,1707
2023-51-09T12:51,329,1692
2023-55-09T12:55,0,0
